Qiymet,Kategoriya,Mertebe,Otaq,Kupca,Seher
215 000,Yeni tikili,12 / 17,3,var,"Bakı şəhəri, Azadlıq prospekti"
73 000,Yeni tikili,6 / 19,1,yoxdur,"Bakı şəhəri, Gəncə prospekti 29/30 "
54 000,Köhnə tikili,10 / 10,2,var,"Bakı şəhəri, Mərkəz küç."
350 000,Köhnə tikili,4 / 4,5,var,"Bakı şəhəri, Azadlıq pr.55"
190 000,Yeni tikili,11 / 20,3,var,"Bakı şəhəri, Fuad İbrahimbəyov küçəsi "
110 000,Yeni tikili,6 / 7,2,yoxdur,"Bakı şəhəri, Mir Cəlal küç."
175 000,Köhnə tikili,3 / 9,5,var,"Bakı şəhəri, Hüseyn Seyidzadə küçəsi"
60 000,Yeni tikili,3 / 6,2,yoxdur,"Xırdalan şəhəri, Heydər Əliyev 56"
106 000,Yeni tikili,16 / 18,2,yoxdur,"Bakı şəhəri, Cavadxan küçəsi 21 ev 34"
126 000,Yeni tikili,4 / 15,2,var,"Bakı şəhəri, Nəsif Bəy Yusifbəyli küç"
120 000,Yeni tikili,3 / 18,3,var,"Bakı şəhəri, Əsəd Əhmədov küç 22A "
307 000,Yeni tikili,4 / 16,4,var,"Bakı şəhəri, Xocali pr "
111 000,Köhnə tikili,6 / 9,3,var,"Bakı şəhəri, Məmmədəli Şərifli küçəsi"
355 000,Yeni tikili,4 / 14,4,var,"Bakı şəhəri, Bül Bül pr."
130 000,Yeni tikili,2 / 16,2,var,"Bakı şəhəri, Mirqasımov küc"
152 000,Yeni tikili,2 / 9,5,var,"Sumqayıt şəhəri, 1 mikrorayon"
460 000,Yeni tikili,10 / 16,3,yoxdur,"Bakı şəhəri, Həsən Əliyev Küçəsi"
295 000,Yeni tikili,2 / 7,4,var,"Bakı şəhəri, Cəfər Xəndan küçəsi"
195 000,Yeni tikili,16 / 18,3,var,"Bakı şəhəri, Y.Seferov kucesi 55"
190 000,Yeni tikili,9 / 16,3,var,"Bakı şəhəri, Nəcəfqulu Rəfiyev küçəsi"
126 000,Yeni tikili,16 / 20,3,var,"Bakı şəhəri, Gəncə prospekti"
152 000,Yeni tikili,2 / 10,5,var,"Sumqayıt şəhəri, Nəriman Nərimanov küçəsi"
140 000,Köhnə tikili,5 / 5,3,var,"Bakı şəhəri, M.Kaveroçkin küç. 36.mənzil 54"
175 000,Yeni tikili,14 / 17,3,var,"Bakı şəhəri, Babək pr.10D men.50"
115 000,Yeni tikili,5 / 12,2,yoxdur,"Bakı şəhəri, Özbəkistan küç. "
130 000,Köhnə tikili,1 / 5,3,var,"Bakı şəhəri, Parlament prospekti"
315 000,Yeni tikili,7 / 12,3,var,"Bakı şəhəri, S. Vurğun küç."
398 000,Yeni tikili,8 / 18,4,var,"Bakı şəhəri, Hüseyn Cavid prospekti "
210 000,Yeni tikili,19 / 20,3,yoxdur,"Bakı şəhəri, M. Mehdizadə küçəsi ev 72"
57 500,Köhnə tikili,8 / 9,2,var,"Bakı şəhəri, İlqar Əhlimanov küç. 7"
130 000,Köhnə tikili,9 / 9,4,var,"Bakı şəhəri, Yeni Yasamal 1"
220 000,Yeni tikili,2 / 18,3,var,"Bakı şəhəri, Əliyar Əliyev küçəsi"
140 000,Yeni tikili,2 / 12,3,var,"Bakı şəhəri, Zahid Xəlilov küçəsi"
125 000,Yeni tikili,11 / 11,4,var,"Bakı şəhəri, Məhəmməd Xiyabani küçəsi"
195 000,Yeni tikili,10 / 18,2,var,"Bakı şəhəri, Sabit Rəhman küçəsi"
145 000,Köhnə tikili,9 / 9,4,var,"Bakı şəhəri, Əbdulhəzəl Dəmiçizadə küç"
78 000,Yeni tikili,2 / 17,2,var,"Bakı şəhəri, Naxçıvani küç 32"
126 000,Yeni tikili,16 / 20,3,var,"Bakı şəhəri, Gəncə pr."
148 000,Yeni tikili,10 / 16,3,var,"Bakı şəhəri, İlham Hacıyev küçəsi, 63G, mənzil 57"
175 000,Yeni tikili,14 / 17,3,var,"Bakı şəhəri, Gəncə prospekti"
170 000,Yeni tikili,5 / 18,2,var,"Bakı şəhəri, H.Əliyev pr."
88 000,Köhnə tikili,5 / 5,3,var,"Bakı şəhəri, Xudu Məmmədov küçəsi"
116 500,Köhnə tikili,4 / 9,3,var,"Bakı şəhəri, Sarayevo küç."
260 000,Yeni tikili,4 / 17,3,var,"Bakı şəhəri,  Mirəli Qaşqay küçəsi"
122 000,Yeni tikili,16 / 20,3,var,"Bakı şəhəri, Əsəd Əhmədov küç"
95 000,Köhnə tikili,1 / 5,2,var,"Bakı şəhəri, Zahid Xəlillov küçəsi.36"
145 000,Yeni tikili,16 / 17,2,var,"Bakı şəhəri, Zahid Xəlilov 123a"
200 000,Köhnə tikili,4 / 9,4,var,"Bakı şəhəri, S.Mehdiyev kucesi"
126 000,Yeni tikili,16 / 20,3,var,"Bakı şəhəri, Gəncə prospekti"
189 000,Köhnə tikili,5 / 5,3,var,"Bakı şəhəri, Məmməd Araz küç. 34"
160 000,Yeni tikili,6 / 12,3,var,"Bakı şəhəri, Heydər Hüseynov küçəsi "
220 000,Yeni tikili,6 / 20,4,var,"Bakı şəhəri, Nəsibbəy Yusifbəyli küç"
135 000,Yeni tikili,15 / 17,3,yoxdur,"Bakı şəhəri, Mircəlal küç"
215 000,Yeni tikili,5 / 16,2,yoxdur,"Bakı şəhəri, Mərdanov Qardaşları küçəsi"
269 900,Yeni tikili,16 / 21,4,yoxdur,"Bakı şəhəri, Naxçıvani küç."
80 000,Yeni tikili,12 / 15,3,var,"Xırdalan şəhəri, Heydər Əliyev Prospekti"
36 000,Yeni tikili,1 / 5,2,var,"Bakı şəhəri, Əliağa Vahid küç 12"
110 000,Köhnə tikili,3 / 5,3,var,"Bakı şəhəri, E.Süleymanov küçəsi."
118 000,Köhnə tikili,4 / 5,3,var,"Bakı şəhəri, Mətbuat prospekti"
65 000,Köhnə tikili,1 / 9,2,var,"Bakı şəhəri, Ə.Əliyev k."
239 000,Yeni tikili,12 / 17,3,var,"Bakı şəhəri, Təbriz küçəsi"
178 000,Yeni tikili,9 / 12,3,var,"Bakı şəhəri, İ. Zülfüqarov küç. "
91 000,Köhnə tikili,4 / 9,2,var,"Bakı şəhəri, Fətəli xan Xoyski küç."
175 000,Yeni tikili,15 / 25,2,var,"Bakı şəhəri, Şəfaət Mehdiyev küç."
65 000,Yeni tikili,15 / 16,2,yoxdur,"Bakı şəhəri, Merkəz k."
310 000,Yeni tikili,7 / 16,3,var,"Bakı şəhəri, Ziya Bünyadov prospekti"
172 000,Yeni tikili,12 / 18,3,var,"Bakı şəhəri, 8 noyabr prospekti"
106 000,Yeni tikili,8 / 16,3,yoxdur,"Xırdalan şəhəri, Şəfiyev küçəsi"
230 000,Yeni tikili,14 / 16,2,yoxdur,"Bakı şəhəri, Təbriz küçəsi "
119 000,Yeni tikili,5 / 17,2,var,"Bakı şəhəri, Rəşid İsmayılov küç. "
110 000,Köhnə tikili,1 / 9,4,var,"Bakı şəhəri, İlqar Zülfüqarov küçəsi"
111 000,Yeni tikili,10 / 18,2,yoxdur,"Bakı şəhəri, Gəncə.pr"
378 000,Yeni tikili,6 / 16,4,var,"Bakı şəhəri, Ceyhun Hacıbəyli küç"
